#,Gym Name,Rating,Reviews,City,State
501,The Fort Worth Club,4.7,515,Fort Worth,TX
502,TRAIN. FITNESS HOUSE 24/7.,4.9,212,Columbus,OH
503,Arena District Athletic Club,4.6,69,Columbus,OH
504,Elevate Human Performance,4.9,335,Columbus,OH
505,The Butcher Shop Fitness - German Village,5.0,73,Columbus,OH
506,The Fitness Loft,4.5,250,Columbus,OH
507,Avenue X Fitness,5.0,30,Columbus,OH
508,The Warehouse Gym & Fitness Personal Training,4.9,73,Columbus,OH
509,Grandview Pro Fitness,4.6,100,Columbus,OH
510,Chiseled Gym,5.0,91,Columbus,OH
511,Beyond Limits Training,4.5,127,Columbus,OH
512,The Pro's Gym,4.5,491,Columbus,OH
513,System of Strength,4.9,121,Columbus,OH
514,PURE - Strength + Wellness,5.0,30,Columbus,OH
515,United Strength,5.0,51,Columbus,OH
516,Sparked Society Gym,4.8,65,Columbus,OH
517,The Butcher Shop Fitness - Open Air,4.8,39,Columbus,OH
518,Olde Towne Fitness,4.9,36,Columbus,OH
519,Sweat Box Fitness,4.9,26,Columbus,OH
520,The Spot Athletics - Grandview,5.0,225,Columbus,OH
521,Fitness Evolution,5.0,129,Columbus,OH
522,The Athletic Cos. Italian Village,4.3,44,Columbus,OH
523,The Active,4.9,24,Columbus,OH
524,Resolve Fitness,4.6,37,Columbus,OH
525,Life Time,4.4,926,Columbus,OH
526,Snap Fitness Grandview 24/7,4.6,112,Columbus,OH
527,Snap Fitness Short North 24/7,4.7,103,Columbus,OH
528,The Athletic Club of Columbus,4.7,298,Columbus,OH
529,Cycle614,4.9,705,Columbus,OH
530,Lionheart Fitness,5.0,59,Columbus,OH
531,THE ARMORY,4.2,112,Columbus,OH
532,Self Made Training Facility Columbus,4.9,142,Columbus,OH
533,Fit Club - Home of CrossFit 614,4.9,61,Columbus,OH
534,Pinnacle Performance,4.8,78,Columbus,OH
535,1 Evolve Gym,5.0,12,Columbus,OH
536,The Dogg House Gym,4.9,36,Columbus,OH
537,UA Fitness | Upper Arlington Gym,4.7,46,Columbus,OH
538,Anytime Fitness,4.8,306,Columbus,OH
539,Orangetheory Fitness,4.9,249,Columbus,OH
540,The Human Form,5.0,56,Columbus,OH
541,Ohio Strength - Home of CrossFit Italian Village,4.9,175,Columbus,OH
542,B.O.S.S. Fitness Studio,4.7,32,Columbus,OH
543,Forge Fit,5.0,16,Columbus,OH
544,Personal Level Fitness,5.0,70,Columbus,OH
545,barre3,5.0,92,Columbus,OH
546,Lagree House,4.9,110,Columbus,OH
547,Fitness Resources -Personalized Training Systems,5.0,33,Columbus,OH
548,Blueprint Health & Fitness,5.0,120,Columbus,OH
549,JAM Training,5.0,166,Columbus,OH
550,GO Fitness Center,4.5,94,Columbus,OH
551,Columbus Sports Connection,4.6,44,Columbus,OH
552,Precision Wellness Personal Training,5.0,75,Columbus,OH
553,614 Barbell Grove City,4.8,25,Columbus,OH
554,"HOTWORX - Columbus, OH - 5th Ave.",5.0,196,Columbus,OH
555,614 Gym,5.0,8,Columbus,OH
556,Pure Barre,4.8,102,Columbus,OH
557,CrossFit Grandview,5.0,161,Columbus,OH
558,Planet Fitness,4.2,821,Columbus,OH
559,The Athletic Cos. Harrison West,4.2,12,Columbus,OH
560,Axon Group and Personal Training,4.8,43,Columbus,OH
561,The Athletic Cos. Grandview Crossing,4.3,6,Columbus,OH
562,Power in Motion,4.8,160,Columbus,OH
563,AllHustle Fitness,5.0,39,Columbus,OH
564,Modo Yoga Columbus - Grandview,4.9,269,Columbus,OH
565,Crunch Fitness - Hilliard,4.2,904,Columbus,OH
566,Gahanna/John E. Bickley YMCA - YMCA of Central Ohio,4.4,551,Columbus,OH
567,The Fitness Factory of Charlotte,4.7,274,Charlotte,NC
568,Hive Fitness,4.8,187,Charlotte,NC
569,Crunch Fitness - Charlotte University,4.5,"1,636",Charlotte,NC
570,Bucked Up Fitness Queen City,4.8,106,Charlotte,NC
571,My Fitness World,5.0,41,Charlotte,NC
572,QC Pump House,4.9,724,Charlotte,NC
573,Iron Tribe Fitness Cotswold,4.9,77,Charlotte,NC
574,F45 Training Midtown Charlotte,4.7,80,Charlotte,NC
575,West Kept Secret,4.8,119,Charlotte,NC
576,Charlotte Athletic Club,4.2,172,Charlotte,NC
577,PRIDE Conditioning - Gym,4.9,95,Charlotte,NC
578,MOTION Fitness,4.8,44,Charlotte,NC
579,Hustle House Fitness - Uptown,4.6,172,Charlotte,NC
580,Charlotte Strength,5.0,153,Charlotte,NC
581,MADabolic Southend,4.9,287,Charlotte,NC
582,Anytime Fitness,4.8,229,Charlotte,NC
583,Fitness Together,5.0,66,Charlotte,NC
584,DexaFit Lake Norman & HealthGevity Gardens,5.0,290,Charlotte,NC
585,Arte Suave Brazilian Jiu-Jitsu Academy Charlotte,5.0,102,Charlotte,NC
586,Sweat Method,4.9,65,Charlotte,NC
587,CORE24 GYM,4.3,78,Charlotte,NC
588,Functional Fit Charlotte,4.8,22,Charlotte,NC
589,Oro Athletic,5.0,114,Charlotte,NC
590,F45 Training Plaza Midwood,5.0,111,Charlotte,NC
591,The Health Club,4.9,36,Charlotte,NC
592,Fitness Connection,4.5,"2,682",Charlotte,NC
593,9Round,5.0,76,Charlotte,NC
594,Flex5 By PetroFitness,4.9,72,Charlotte,NC
595,Megaflex Gym,4.7,61,Charlotte,NC
596,Barry's Charlotte,4.8,113,Charlotte,NC
597,CLT Lifting Club,4.9,183,Charlotte,NC
598,Q Fitness and Wellness,5.0,36,Charlotte,NC
599,"ISI Elite Training - Dilworth, NC",5.0,146,Charlotte,NC
600,Inertia Fitness Co. - Uptown,5.0,76,Charlotte,NC
